"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3466724,"May 12, 2026",Nevada,"Las Vegas","9000 block of W Rochelle Ave",1,0,0,0,0,N/A
3466710,"May 12, 2026",Texas,Dallas,"10500 block of Walnut St",1,0,0,0,0,N/A
3466643,"May 12, 2026",Utah,Tooele,I-80,0,1,0,0,0,N/A
3466635,"May 12, 2026",Louisiana,"New Orleans","1500 block of N Derbigny St",0,1,0,0,0,N/A
3466612,"May 12, 2026",Arizona,Phoenix,"33500 N North Vly Pkwy",1,0,0,0,0,N/A
3466581,"May 12, 2026",Colorado,Denver,"3200 block of W Colfax Ave",0,2,0,0,0,N/A
3466563,"May 12, 2026",Texas,Nash,"300 Alumax Rd",2,1,0,0,0,N/A
3466439,"May 11, 2026",Alabama,Montgomery,"1900 block of Woodrun Dr",0,1,0,0,1,N/A
3466045,"May 11, 2026",Massachusetts,Cambridge,"Memorial Dr and River St",0,2,0,1,0,N/A
3466423,"May 11, 2026","District of Columbia",Washington,"700 block of Taylor St NW",0,1,0,0,0,N/A
3466421,"May 11, 2026",Indiana,Muncie,"3000 block of W Oaklyn Ave",0,0,1,0,0,N/A
3466410,"May 11, 2026",Ohio,Columbus,"3851 East Livingston Ave",1,0,0,0,0,N/A
3466408,"May 11, 2026",Ohio,Cleveland,"Miles Ave and E 95th St",0,1,0,0,0,N/A
3466337,"May 11, 2026",Alabama,Prattville,"Bridge Creek Rd",0,1,0,0,0,N/A
3466358,"May 11, 2026",Colorado,"Commerce City","60th Ave and Monaco St",0,1,0,0,0,N/A
3466320,"May 11, 2026",Mississippi,Meridian,"3100 block of 10th Ave",0,1,0,0,0,N/A
3466302,"May 11, 2026",Mississippi,Meridian,"2200 block of State Blvd",0,1,0,0,1,N/A
3466258,"May 11, 2026",Missouri,"Ballwin (Ellisville)","100 block of Carmel Woods Dr",0,0,0,2,0,N/A
3466277,"May 11, 2026",Illinois,Chicago,"9900 block of S Ewing Ave",0,3,0,0,0,N/A
3466249,"May 11, 2026",Montana,"Columbia Falls","200 block of Dawn Dr",1,0,0,1,0,N/A
3466241,"May 11, 2026","New York",Bronx,"Tillotson Ave and Hunter Ave",0,1,0,0,0,N/A
3466221,"May 11, 2026",Pennsylvania,"Wilkes Barre","200 block of N Pennsylvania Ave",0,1,0,0,0,N/A
3466205,"May 11, 2026","New York",Bronx,"3555 Bivona St",0,1,0,0,0,N/A
3466125,"May 11, 2026","South Carolina",Hopkins,"517 Horrell Hill Rd",0,1,0,0,0,N/A
3466080,"May 11, 2026","North Carolina",Louisburg,"1375 NC-561",0,1,0,0,0,N/A
3465990,"May 11, 2026","Rhode Island",Providence,"Silver Spring St and Swift St",1,0,0,0,0,N/A
3466713,"May 11, 2026",Alabama,Greenville,"Gravel Hill Rd",0,0,1,0,0,N/A
3466701,"May 11, 2026",Alabama,Fultondale,"51 Chapel Creek Ln",0,1,0,0,0,N/A
3466630,"May 11, 2026",Utah,"Cedar City","350 block of 400 N",0,1,0,0,0,N/A
3466197,"May 11, 2026",Louisiana,"New Orleans","4600 block of Chef Menteur Hwy",0,1,0,0,0,N/A
3466623,"May 11, 2026",Texas,Amarillo,"2100 block of Coulter St S",1,0,0,0,0,N/A
3466610,"May 11, 2026",Louisiana,Shreveport,"2104 Milam St",0,0,0,0,1,N/A
3466596,"May 11, 2026",Texas,Lubbock,"Colgate St and N University Ave",0,1,0,0,0,N/A
3466590,"May 11, 2026",Texas,Dallas,"2500 block of Victory Ave",0,0,0,1,0,N/A
3466586,"May 11, 2026",Texas,Houston,"8628 1/2 Long Point Rd",0,1,0,0,0,N/A
3465944,"May 11, 2026",Illinois,Chicago,"4600 block of S Winchester Ave",0,1,0,0,0,N/A
3466546,"May 11, 2026",Tennessee,Memphis,"40 block of E Davant Ave",0,1,0,0,0,N/A
3466542,"May 11, 2026",Tennessee,Knoxville,"1000 block of James Ave",0,1,0,0,0,N/A
3466534,"May 11, 2026",Tennessee,Chattanooga,"1200 Grove St",0,1,0,0,0,N/A
3466496,"May 11, 2026",Kentucky,Louisville,"1200 block of S Hancock St",0,1,0,0,0,N/A
3466489,"May 11, 2026",Kentucky,Louisville,"N 22nd St and Bank St",0,1,0,0,0,N/A
3466474,"May 11, 2026",Kansas,Salina,"N 12th St and W Pacific Ave",0,0,1,0,0,N/A
3466457,"May 11, 2026",Indiana,Indianapolis,"7300 E 56th St",0,0,0,0,1,N/A
3466442,"May 11, 2026",Alabama,"Phenix City","905 280 Byp",1,0,0,0,1,N/A
3466432,"May 10, 2026",Ohio,Bucyrus,"900 block of E Warren St",0,0,1,0,0,N/A
3465796,"May 10, 2026","New Jersey",Passaic,"Monroe St",0,1,0,0,0,N/A
3466405,"May 10, 2026",Virginia,Cascade,"5800 block of Cascade Rd",1,0,0,0,1,N/A
3466402,"May 10, 2026",Ohio,Medina,"200 block of Abbeville Rd",0,1,0,0,1,N/A
3465816,"May 10, 2026",Indiana,"South Bend","1300 block of Eastbrook Dr",0,1,0,0,0,N/A
3465772,"May 10, 2026","South Dakota",Whitewood,N/A,0,1,0,0,1,N/A
3466378,"May 10, 2026",Colorado,Thornton,"9700 block of Ogden Ct",1,0,0,0,1,N/A
3465394,"May 10, 2026",Indiana,Indianapolis,"7000 block of E 10th St",1,0,0,0,0,N/A
3466390,"May 10, 2026",Virginia,Roanoke,"Grand Ave NW and Forest Park Blvd NW",0,2,0,0,0,N/A
3465818,"May 10, 2026",Indiana,Indianapolis,"7975 Red Mill Dr",1,0,0,0,1,N/A
3466376,"May 10, 2026",Ohio,Cincinnati,"10000 block of Able Ct",0,1,0,0,0,N/A
3466373,"May 10, 2026",Virginia,Hampton,"3000 block of Kecoughtan Rd",0,1,0,0,0,N/A
3466370,"May 10, 2026",Ohio,Cincinnati,"McHenry Ave",0,1,0,0,1,N/A
3466368,"May 10, 2026",Virginia,Norfolk,"800 block of East 26th St",0,0,0,0,0,N/A
3466360,"May 10, 2026",Virginia,Portsmouth,"1500 block of Wool Ave",0,1,0,0,0,N/A
3465737,"May 10, 2026",Texas,"Wichita Falls","2509 Sheppard Access Rd",1,1,0,0,0,N/A
3465733,"May 10, 2026",Virginia,Chesterfield,"14300 block of Branding Iron Rd",0,1,0,0,1,N/A
