Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,latitude,longitude
3466439,"May 11, 2026",Alabama,Montgomery,1900 block of Woodrun Dr,0,1,0,0,1,N/A,32.376542,-86.2996608
3466045,"May 11, 2026",Massachusetts,Cambridge,Memorial Dr and River St,0,2,0,1,0,N/A,42.365248,-71.105015
3466423,"May 11, 2026",District of Columbia,Washington,700 block of Taylor St NW,0,1,0,0,0,N/A,38.8920621,-77.0199124
3466421,"May 11, 2026",Indiana,Muncie,3000 block of W Oaklyn Ave,0,0,1,0,0,N/A,40.193655,-85.386524
3466410,"May 11, 2026",Ohio,Columbus,3851 East Livingston Ave,1,0,0,0,0,N/A,39.962762,-82.996291
3466408,"May 11, 2026",Ohio,Cleveland,Miles Ave and E 95th St,0,1,0,0,0,N/A,41.5051414,-81.6914575
3466337,"May 11, 2026",Alabama,Prattville,Bridge Creek Rd,0,1,0,0,0,N/A,32.471359,-86.466179
3466358,"May 11, 2026",Colorado,Commerce City,60th Ave and Monaco St,0,1,0,0,0,N/A,39.812904,-104.912874
3466320,"May 11, 2026",Mississippi,Meridian,3100 block of 10th Ave,0,1,0,0,0,N/A,32.365047,-88.703606
3466302,"May 11, 2026",Mississippi,Meridian,2200 block of State Blvd,0,1,0,0,1,N/A,32.365047,-88.703606
3466258,"May 11, 2026",Missouri,Ballwin (Ellisville),100 block of Carmel Woods Dr,0,0,0,2,0,N/A,38.591205477044,-90.524090838284
3466277,"May 11, 2026",Illinois,Chicago,9900 block of S Ewing Ave,0,3,0,0,0,N/A,41.883229,-87.632398
3466249,"May 11, 2026",Montana,Columbia Falls,200 block of Dawn Dr,1,0,0,1,0,N/A,48.370663,-114.186638
3466241,"May 11, 2026",New York,Bronx,Tillotson Ave and Hunter Ave,0,1,0,0,0,N/A,40.8261532,-73.9203351
3466221,"May 11, 2026",Pennsylvania,Wilkes Barre,200 block of N Pennsylvania Ave,0,1,0,0,0,N/A,41.2462494,-75.8811838
3466205,"May 11, 2026",New York,Bronx,3555 Bivona St,0,1,0,0,0,N/A,40.8261532,-73.9203351
3466197,"May 11, 2026",Louisiana,New Orleans,4600 block of Chef Menteur Hwy,0,1,0,0,0,N/A,29.9517634,-90.0746168
3466125,"May 11, 2026",South Carolina,Hopkins,517 Horrell Hill Rd,0,1,0,0,0,N/A,33.903614,-80.877067
3466080,"May 11, 2026",North Carolina,Louisburg,1375 NC-561,0,1,0,0,0,N/A,36.099177,-78.294776
3465990,"May 11, 2026",Rhode Island,Providence,Silver Spring St and Swift St,1,0,0,0,0,N/A,41.824461,-71.412747
3465944,"May 11, 2026",Illinois,Chicago,4600 block of S Winchester Ave,0,1,0,0,0,N/A,41.883229,-87.632398
3466442,"May 11, 2026",Alabama,Phenix City,905 280 Byp,1,0,0,0,1,N/A,32.47292,-85.000787
3466432,"May 10, 2026",Ohio,Bucyrus,900 block of E Warren St,0,0,1,0,0,N/A,40.808683,-82.974147
3466355,"May 10, 2026",Alabama,Buhl,10000 block of Sam Jones Rd,0,1,0,0,1,N/A,33.2571363,-87.7529826
